,,,,"QUESTIONS: ABOUT 150 CHARACTERS","ANSWERS: ABOUT 120 CHARACTERS","RESPONSES: ABOUT 290 CHARACTERS",,,,,,
"PRF7","Picking up Fuzzies adds mass to your ship. This extra weight will slow the ship down, requiring more force to go the same distance.","Acceleration decreases as mass increases (when the force stays the same). What does this mean for you? It means your ship is going to be heavier and slower after picking up a Fuzzy!","When you pick up a Fuzzy pod, your ship requires more force to push it the same distance as before. This is because your mass has increased.","If the Fuzzy's pod gains mass while it's traveling, what will happen to its acceleration if the force stays the same?","It will decrease.","Great answer! If force doesn't change, then acceleration will decrease when mass increases. ","It will gradually increase.","Nope. Think about Newton's 2nd Law. That will tell you the relationship between force, mass and acceleration.","The pod will stop moving.","No, try again. As long as there is an unbalanced force acting on the pod, it will not stop moving.","It will increase at first, then decrease.","Not exactly. Think about the relationship between force, mass and acceleration in Newton's 2nd Law. What happens to acceleration when mass increases (and the force doesn't change)?"
"PRF8","Fuzzy pods that are dropped will keep on going in the same direction they were dropped in, and at the same speed too!","Once a Fuzzy is dropped from your ship, Newton's 1st Law takes over. The pod will move at a constant speed and not change its direction unless other forces act on it.","Fuzzy pods move in the same direction and at the same speed unless forces are applied to them. This knowledge can be extremely useful when deciding how to drop their pods!","What kind of motion do you think the Fuzzy pod will have after you drop it from your ship?","It will continue travelling in the same direction at a constant speed until a force acts on it.","Yes! That's Newton's 1st Law in action!","The Fuzzy will gradually slow down until it stops.","Not quite. In order for it to slow down, there would have to be some kind of force acting on the pod in the opposite direction of travel.","The pod will start accelerating faster and faster.","Nope, not this time. Remember that there are no forces acting on the fuzzy pod once you drop it from your ship.","The Fuzzy will start to curve in one direction.","Keep trying! In order for the fuzzy pod to curve like that, there would have to be a constant force acting on the pod. I don't think that's happening here."
"PRF9","Ah, I see you're carrying Fuzzies here. Make sure you use larger forces to move around after adding them to your ship!","Fuzzy pods add mass to your ship and require you to use bigger forces to move the same distances you did before. Nice work!","That's pretty cool that you actually change your boost forces after picking up Fuzzies. It takes more force to move now. Let's watch what happens.","What affect will picking up that Fuzzy have on the forces you use to push around your ship?","I have to use larger forces to move the same distances I could before.","You bet! More mass requires more force to accelerate the same amount.","The forces actually don't change. Because we're in space, mass doesn't matter.","Not exactly. You may feel weightless in space, but your mass is still the same. Try again.","I have to use smaller forces to move the same distances I could before.","Hm, that doesn't sound right to me. Wouldn't you require MORE force to move more mass the same distance?","I'll have to Boost more often now because my ship will start coming to a stop if I don't apply more forces. All that extra mass makes us slow down after every boost.","You're on the right track. The ship's mass definitely affects your motion, but you won't slowly come to a stop because of it. Think back to Newton's 1st Law."
"POF1","You need forces to make your ship move from a stationary position. Newton's 1st Law handles this nicely.","I like how you use a nice strong Rocket Boost to get your ship moving at the start. It would just stay there if no forces were applied! That's Newton's 1st Law!","Force is what causes objects to move around. The Rocket Boosts you use can apply unbalanced forces that push you around space.","What was the point of boosting your ship right at the start? ","Newton's 1st Law: The ship will not move unless a force acts on it","You got it! You need Newton's 1st Law to start the ship's motion.","Newton's 1st Law: A force applied perpendicular to the ship's motion will cause it to move diagonally","Close, but not quite. You had to get the ship moving first before you could change its motion. ","Newton's 1st Law: Balanced forces will not change the object's motion","Well, that's true, but you WANTED to change your ship's motion so that it would start moving. You needed unbalanced forces here! Try again!","Newton's 3rd Law: Colliding with an obstacle rebounds the ship on a new trajectory with the same velocity","Not exactly. You didn't need Newton's 3rd Law here because you weren't colliding with an obstacle. Try a different law."
"POF2","Once your ship started moving, it just kept going! Newton's 1st Law explains why: you can only make your ship stop or move by applying forces.","As Newton's 1st Law states, you will continue to move along in the same direction at a constant speed if there are no other forces acting on you.","Ships on the move won't stop unless they bump into something or fire a rocket. It's true! I learned that from Newton's 1st Law.","What does Newton's 1st Law say will happen if your ship is moving but there is no force acting on it?","It will continue in the same direction at a constant speed","Yep! If there's no force acting on the ship, your speed and direction will stay the same.","It will continue in the same direction, but gradually increase in speed","Nope. If there's no force acting on the ship, the speed will not change. ","Its path will start to curve and it will slow down","Not exactly. If there's no forces acting on the ship, then the ship's direction and speed will not change.","Its path will start to curve, but its speed will stay the same","Try again. The speed will stay the same, but the direction will NOT change unless there are forces acting on the ship."
"POF3","Isn't this neat? If you boost in opposite directions with the same force, nothing will happen! The forces balance each other out.","We know that with Newton's 1st Law, balanced forces don't change the ship's motion at all. So any time we boost in opposite directions with the same force at the same time, nothing will happen!","If you boost in opposite directions with the same force, what do you get? Balanced forces! Or as I like to call it, a Newton's Sandwich.","Which part of Newton's 1st Law helps us if we simultaneously boost up AND down at the same time with the same force?","Balanced forces will not change the ship's motion.","Great answer! An up and down boost with the same force will not change the ship's motion.","A force applied perpendicular to the direction of motion will move the ship diagonally.","Keep trying! I don't think an up boost and a down boost are perpendicular to each other.","The ship will stop if an unbalanced force is applied in the opposite direction.","Try again. I don't think you're dealing with an unbalanced force in this situation.","The ship won't move unless an unbalanced force acts on it.","Not quite. I don't think you're dealing with unbalanced forces here."
"POF4","Fuzzy pod acceleration will always increase if the launch force is increased.","Acceleration and force are tied together. Increasing force will increase acceleration. Keep that in mind!","As force goes up, so does acceleration! Just thought you'd like to know that.","According to Newton's 2nd Law, if the force used to propel the Fuzzy is increased, what will happen to the pod's acceleration? ","It will increase.","Great answer! Force and acceleration are directly related. As one increases, the other one does too.","It will decrease.","Oops! Try again. Think about the relationship between force and acceleration in Newton's 2nd Law.","It will stay the same.","No, I think acceleration has to change if the force is increased.","It will increase for a moment, then decrease.","Not exactly. Think about the relationship between force and acceleration in Newton's 2nd Law. What happens to acceleration when force increases?"
"POF5","When you increase your mass by picking up Fuzzies, you will need to use more force to accelerate. That's part of Newton's 2nd Law!","According to Newton's 2nd Law, increasing the force of a fuzzy launch will increase the acceleration. Newton's 2nd Law also says that decreasing the fuzzy's mass would increase its acceleration. We can't cut a fuzzy in half though!
","Newton's 2nd Law can give you insight on how to make objects go faster. One way is to increase the amount of force you apply.","If you had wanted to increase the speed of the Fuzzy, what does Newton's 2nd Law tell us to do?","Increase the force that is applied to the Fuzzy's pod.","Great job! According to Newton's 2nd Law, increasing the force will increase the acceleration. Newton's 2nd Law also says that decreasing the fuzzy's mass would increase its acceleration. We can't cut a fuzzy in half though!","Decrease the acceleration of the Fuzzy's pod.","Nope. Decreasing the acceleration won't cause the fuzzy to go faster. ","Apply an equal boost in the opposite direction of the Fuzzy's direction of travel.","Nope. I think that would slow the fuzzy down, not increase its speed. ","Apply balancing forces on either side of the Fuzzy's pod.","Sorry, try again. Remember, balanced forces don't change the motion of the pod at all."
"POF6","If your Boost force is increased, the ship is accelerated more during the boost (if mass stays the same).","Because Newton's 2nd Law holds true, acceleration will increase if the force applied is increased (so long as mass stays the same). ","Ship acceleration will increase if the Boost force goes up (if mass stays the same). I learned that from Newton's 2nd Law!","If the force used to propel the ship was increased, what could have happened to the ship's acceleration, according to Newton's 2nd Law? ","It will increase.","Yep, you got it! Newton's 2nd Law says that force and acceleration are directly related. When force goes up, so does acceleration (just as long as the mass stays the same).","It will decrease.","Oops! Try again. Think about the relationship between force and acceleration in Newton's 2nd Law. Ship acceleration will increase if the Boost force goes up (if mass stays the same).","It will stay the same.","No, Newton's 2nd Law says that if Force goes up (and mass stays the same) that the accleration will go up.","It will increase for a moment, then decrease.","Not exactly. Think about the relationship between force and acceleration in Newton's 2nd Law. What happens to acceleration when force increases?"
"POF7","After you pick up a fuzzy, your mass will be more. Newton's 2nd Law shows that when you increase your mass, you need to apply more force to accelerate.","When you pick up a fuzzy, your mass increases, so you need to apply more force to accelerate. That is part of Newton's 2nd Law.","Newton's 2nd Law shows that when you carry lots of fuzzies you will need to use more force to accelerate because your mass is bigger.","When your mass increases (by picking up a Fuzzy), what happens to the force you need to accelerate?","You will need to apply more force to accelerate.","Yes! When you pick up a fuzzy, your mass increases, so you need to apply more force to accelerate. That is part of Newton's 2nd Law.","Your acceleration will gradually increase.","Nope. Think about Newton's 2nd Law. That will tell you the relationship between force, mass and acceleration.","You won't accelerate at all.","No, try again. As long as there is an unbalanced force acting on the pod, it will accelerate. ","It will increase at first, then decrease.","Not exactly. Think about the relationship between force, mass and acceleration in Newton's 2nd Law. What happens to acceleration when mass increases?"
"POF8","Dropping Fuzzies gives you a great opportunity to watch Newton's 1st Law in action. The pods just keep going in the same direction and don't slow down because no unbalanced forces act on them. ","That Fuzzy's pod just kept going after you dropped it. Its direction and speed stayed the same, which helped you figure out where to aim it.","Fuzzy pods travel in the same direction at a constant speed when dropped. This can always work to your advantage.","What kind of motion did the Fuzzy pod have after you dropped it from your ship?","It continued travelling in the same direction at a constant speed.","Dropping Fuzzies gives you a great opportunity to watch Newton's 1st Law in action. The pods just keep going in the same direction and don't slow down because no unbalanced forces act on them. ","The Fuzzy gradually slowed down until it stopped.","Not quite. In order for it to slow down, there would have to be some kind of unbalanced force acting on the pod in the opposite direction of travel.","The pod started accelerating faster and faster.","Nope, not this time. We're not talking about using the fuzzy launch rocket. Remember that there are no forces acting on the fuzzy pod once you drop it from your ship.","The Fuzzy started to curve in one direction.","Keep trying! In order for the fuzzy pod to curve like that, there would have to be a constant force acting on the pod. We're not talking about using fuzzy launch rocket. We're talking about dropping the fuzzy while we are moving."
"POF9","No doubt about it: greater mass requires greater forces. You must have taken that into account after you picked up that Fuzzy. That's part of Newton's 2nd Law.","Physics at work, indeed. I'm certain you noticed that larger Boost forces were required after you increased your mass with that Fuzzy pod. Newton's 2nd Law says that you need more force to accelerate if your mass increases.","Larger Boost forces? Yes, please! You increased your mass by picking up Fuzzies and had to adjust your boosting. That's part of Newton's 2nd Law.","You picked up that Fuzzy! How did it change the way you use Boost forces?","If I want to accelerate the same amount as before picking up the pod, I needed to use bigger forces.","Absolutely. Newton's 2nd Law says that you need more force to accelerate if your mass increases. Hence, the larger Boost forces! ","Nothing really changed after that. There's no friction in space, so my mass doesn't actually matter.","Hey now, that's not right! Changes in mass always change acceleration. That's part of Newton's 2nd Law.","I needed to use smaller forces to accelerate when my mass increased.","I don't think that's how physics works. Newton's 2nd Law says that you need more force to accelerate if your mass increases.","After picking up that Fuzzy, I needed to combine my forces every time I wanted to move. One Rocket Boost is not enough!","Actually, you CAN still move around with just one Rocket Boost. Something else has to change, though..."
